Sequence Length,Hidden Size,Loss Vector,Accuracy
5,9,"[0.9985083937644958, 0.9289073944091797, 1.1016523838043213, 1.0866162776947021, 1.1552741527557373, 1.2810075283050537, 1.299143671989441, 1.2647281885147095, 1.305405616760254, 1.3084187507629395]",0.89
5,10,"[1.2403302192687988, 1.2518341541290283, 1.2980583906173706, 1.3026692867279053, 1.3084112405776978, 1.3084698915481567, 1.310546636581421, 1.3114137649536133, 1.3113347291946411, 1.3114773035049438]",0.865
5,11,"[0.49837976694107056, 0.36734092235565186, 0.3418370485305786, 0.32127106189727783, 0.3267156183719635, 0.31890514492988586, 0.31611230969429016, 0.3168640732765198, 0.31834691762924194, 0.3171921670436859]",0.785
5,12,"[0.7607567310333252, 0.6998765468597412, 0.6959755420684814, 0.6939661502838135, 0.6936181783676147, 0.6934571266174316, 0.6933135986328125, 0.6933343410491943, 0.6931893825531006, 0.6931924819946289]",0.845
5,13,"[0.35871708393096924, 0.3192484378814697, 0.31707635521888733, 0.31556791067123413, 0.31410229206085205, 0.31378868222236633, 0.31353864073753357, 0.3133915066719055, 0.31335368752479553, 0.31336238980293274]",0.855
5,14,"[0.7776334881782532, 0.7264291048049927, 0.7053483128547668, 0.7001303434371948, 0.6951349973678589, 0.6948559284210205, 0.7034260034561157, 0.6934115290641785, 0.694188117980957, 0.6940380334854126]",0.905
5,15,"[0.45101848244667053, 0.33647793531417847, 0.3279469907283783, 0.31628262996673584, 0.31451231241226196, 0.3143041133880615, 0.31414860486984253, 0.3139294981956482, 0.3142993152141571, 0.313398540019989]",0.85
5,16,"[0.35225170850753784, 0.326182097196579, 0.3145519196987152, 0.31531962752342224, 0.3143168091773987, 0.3136129677295685, 0.31381139159202576, 0.31383299827575684, 0.3135867416858673, 0.3133121132850647]",0.84
5,17,"[0.32569247484207153, 0.3159905672073364, 0.314217209815979, 0.3140760660171509, 0.31365758180618286, 0.31347906589508057, 0.31336238980293274, 0.31341108679771423, 0.3133103549480438, 0.3133179545402527]",0.86
5,18,"[0.32031548023223877, 0.3270873427391052, 0.31460076570510864, 0.31391599774360657, 0.313795804977417, 0.31354013085365295, 0.31352272629737854, 0.31342217326164246, 0.3133198618888855, 0.3133235275745392]",0.83
5,19,"[0.8010250926017761, 0.7078672051429749, 0.6965243220329285, 0.6949582099914551, 0.6935808062553406, 0.6940953731536865, 0.694019079208374, 0.6935614347457886, 0.6933889389038086, 0.6933321356773376]",0.81
5,20,"[0.7027068138122559, 0.6941779851913452, 0.6934854984283447, 0.6933247447013855, 0.6932223439216614, 0.6931719779968262, 0.6931619644165039, 0.6931565999984741, 0.6931545734405518, 0.6931535005569458]",0.875
5,21,"[0.8314094543457031, 0.714175283908844, 0.707440972328186, 0.6975245475769043, 0.69472736120224, 0.694792628288269, 0.693809449672699, 0.6947131752967834, 0.6935291886329651, 0.6932790875434875]",0.83
