Sequence Length,Hidden Size,Loss Vector,Accuracy
600,8,"[0.7606737017631531, 0.7045713067054749, 0.6967586874961853, 0.6942066550254822, 0.6941609382629395, 0.6934308409690857, 0.6934115290641785, 0.693291425704956, 0.6932240128517151, 0.6932411193847656]",1.0
600,10,"[0.368080735206604, 0.3229026794433594, 0.3183039128780365, 0.31481048464775085, 0.3141258656978607, 0.3137117624282837, 0.31383195519447327, 0.31372734904289246, 0.313400536775589, 0.3133694529533386]",0.995
600,12,"[0.3300299644470215, 0.6880878210067749, 0.3184930086135864, 0.314346581697464, 0.3141602575778961, 0.3139493763446808, 0.31379467248916626, 0.31713593006134033, 0.3140759766101837, 0.31471407413482666]",1.0
600,14,"[0.7542579174041748, 0.6977578401565552, 0.6959091424942017, 0.694249153137207, 0.6937369704246521, 0.693428099155426, 0.6935429573059082, 0.6932560801506042, 1.3128111362457275, 1.312881588935852]",0.85
600,16,"[0.32593050599098206, 0.31599846482276917, 0.3142436742782593, 0.31393325328826904, 0.31361210346221924, 0.31343626976013184, 0.3133396506309509, 0.3133338987827301, 0.31333544850349426, 0.31329041719436646]",0.94
600,18,"[0.7158493995666504, 0.6958432197570801, 0.6950175166130066, 0.6935282945632935, 0.6933915615081787, 0.693270206451416, 0.6932427883148193, 0.6932007074356079, 0.6931794285774231, 0.6931590437889099]",1.0
600,20,"[0.32365357875823975, 0.31622937321662903, 0.31434154510498047, 0.6923283934593201, 0.6925696730613708, 0.6924285888671875, 0.6916497349739075, 0.31378424167633057, 0.3137967586517334, 0.31348916888237]",1.0
600,22,"[0.7021183371543884, 0.6965744495391846, 0.69400954246521, 0.6937925815582275, 0.693393886089325, 0.8205273151397705, 1.308630108833313, 0.6935997009277344, 0.7249017953872681, 0.6994543075561523]",0.845
600,24,"[0.7009289264678955, 0.694815456867218, 0.693629264831543, 0.6935062408447266, 0.6934141516685486, 0.6936251521110535, 0.7007969617843628, 1.3129215240478516, 1.3130168914794922, 1.3131418228149414]",0.855
800,2,"[0.5360944271087646, 0.42154717445373535, 0.3934447169303894, 0.35751059651374817, 0.3544882833957672, 0.33502644300460815, 0.331299751996994, 0.3322989344596863, 0.34134984016418457, 0.33201760053634644]",0.93
800,4,"[0.863445520401001, 0.797178328037262, 0.7662988305091858, 0.7137290239334106, 0.7058187127113342, 0.7016173005104065, 0.6985939741134644, 0.6970750093460083, 0.6954795718193054, 0.6947855949401855]",1.0
800,6,"[0.4422362446784973, 0.3791533410549164, 0.33451569080352783, 0.32496368885040283, 0.3225438892841339, 0.3203759491443634, 0.31503164768218994, 0.3146744668483734, 0.31350424885749817, 0.31360331177711487]",1.0
800,8,"[0.921777606010437, 0.7211764454841614, 0.7022144198417664, 0.6962724328041077, 0.6956275701522827, 0.6949410438537598, 0.6949591636657715, 0.6937620043754578, 0.6935343146324158, 0.6935214996337891]",1.0
800,10,"[0.3443760573863983, 0.3191211521625519, 0.31732091307640076, 0.315335750579834, 0.31396496295928955, 0.31399673223495483, 0.6920846104621887, 0.6922529935836792, 0.31353822350502014, 0.3134746253490448]",1.0
800,12,"[0.3370300531387329, 0.3165189325809479, 0.31511402130126953, 0.3142213821411133, 0.31366854906082153, 0.31375017762184143, 0.31351590156555176, 0.3134569227695465, 0.31329771876335144, 0.3133470416069031]",1.0
800,14,"[0.9122915267944336, 0.7559458017349243, 0.710249662399292, 0.7038164138793945, 0.6961275339126587, 0.6978262066841125, 0.6937947869300842, 0.6942238807678223, 0.6941027045249939, 0.6934366226196289]",1.0
800,16,"[0.33044227957725525, 0.3168201446533203, 0.3147123157978058, 0.3137986958026886, 0.31423220038414, 0.31381845474243164, 0.31354328989982605, 0.3134083151817322, 0.3133496642112732, 0.31333109736442566]",1.0
800,18,"[0.32052505016326904, 0.31479063630104065, 0.3138459026813507, 0.31408199667930603, 0.3137730658054352, 0.3142654597759247, 0.3137414753437042, 0.3134584128856659, 0.3133998513221741, 0.31332719326019287]",0.995
800,20,"[0.3179551064968109, 0.31469491124153137, 0.3168843984603882, 0.4791945815086365, 0.3215523660182953, 0.320463091135025, 0.32365986704826355, 0.32221719622612, 0.3203788995742798, 0.32126137614250183]",0.89
800,22,"[0.39291250705718994, 0.33816415071487427, 0.324859619140625, 0.3484705686569214, 0.33455947041511536, 0.32194414734840393, 0.3160313367843628, 0.3162931501865387, 0.31481117010116577, 0.3138779401779175]",0.995
800,24,"[0.3379608988761902, 0.3168382942676544, 0.31436747312545776, 0.3139215111732483, 0.3134816884994507, 0.3134409785270691, 0.3137325048446655, 0.3134355843067169, 0.31334513425827026, 0.6931350231170654]",0.505
2000,2,"[0.4859522581100464, 0.4498103857040405, 0.4352094233036041, 0.40061506628990173, 0.360804945230484, 0.37579232454299927, 0.3500141501426697, 0.33358243107795715, 0.33095234632492065, 0.3306395411491394]",0.935
2000,4,"[0.5226162075996399, 0.415414422750473, 0.353919118642807, 0.3322606384754181, 0.34968581795692444, 0.32136479020118713, 0.32301998138427734, 0.31489098072052, 0.3153972923755646, 0.3138267397880554]",0.995
2000,6,"[0.8314429521560669, 0.7042074799537659, 0.6976197361946106, 0.6963608860969543, 0.6954231262207031, 0.6938793063163757, 0.6938982605934143, 0.6933154463768005, 0.693416178226471, 0.6932726502418518]",1.0
2000,8,"[0.7230541110038757, 0.6975768804550171, 0.6959185600280762, 0.6945787072181702, 0.6938713788986206, 0.6934769749641418, 0.6934615969657898, 0.6933556795120239, 0.6932331323623657, 0.6932342052459717]",1.0
2000,10,"[0.7133399248123169, 0.6970268487930298, 0.6938782334327698, 0.6939611434936523, 0.6972446441650391, 0.6954949498176575, 1.3045485019683838, 1.29652738571167, 0.6935539841651917, 0.6933927536010742]",1.0
