Scale Factor,Sequence Length,Hidden Size,Loss Vector,Accuracy
1,160,8,"[0.6122928261756897, 0.5839961767196655, 0.5825765132904053, 0.5815936326980591, 0.5267601609230042, 0.6755202412605286, 0.6551764607429504, 0.3444937467575073, 0.40300190448760986, 0.3518800139427185]",0.785
1,160,16,"[0.7372710704803467, 0.7779659628868103, 0.7332112193107605, 0.7198663949966431, 0.7194639444351196, 0.7118096947669983, 0.7034107446670532, 0.7007245421409607, 0.7051396369934082, 0.7030684351921082]",0.57
1,160,32,"[0.7173254489898682, 0.8590086698532104, 0.9025297164916992, 0.9865446090698242, 0.7801731824874878, 0.7308067679405212, 0.9696338176727295, 0.9592956304550171, 1.045924425125122, 0.96369469165802]",0.615
2,5,2,"[0.5190452933311462, 0.5429551601409912, 0.5612238645553589, 0.5749082565307617, 0.5854386687278748, 0.5934304594993591, 0.5993938446044922, 0.602955162525177, 0.593955397605896, 0.5365528464317322]",0.545
2,5,4,"[0.42215612530708313, 0.39577242732048035, 0.39292997121810913, 0.358417809009552, 0.3487871289253235, 0.343126505613327, 0.334829181432724, 0.3327423632144928, 0.32845571637153625, 0.32491233944892883]",0.875
2,5,8,"[0.34645792841911316, 0.3298546075820923, 0.31977707147598267, 0.315741628408432, 0.3146860599517822, 0.3152473568916321, 0.31444251537323, 0.31868016719818115, 0.3139100968837738, 0.31379276514053345]",0.89
2,5,16,"[0.3424973487854004, 0.31736689805984497, 0.3187859058380127, 0.31394824385643005, 0.3139820992946625, 0.31353995203971863, 0.31346574425697327, 0.3133998513221741, 0.5555278062820435, 0.3140853941440582]",0.88
2,5,32,"[0.3213971257209778, 0.31409314274787903, 0.3135641813278198, 0.3154560923576355, 0.31331202387809753, 0.3133208155632019, 0.31329163908958435, 0.31327688694000244, 0.3132728040218353, 0.3132714033126831]",0.84
2,10,2,"[0.976769208908081, 0.9814450740814209, 1.0168460607528687, 0.982119083404541, 1.0396960973739624, 1.0592440366744995, 1.0287671089172363, 1.0981720685958862, 1.109822392463684, 1.1201688051223755]",0.755
2,10,4,"[0.7930716276168823, 0.760787844657898, 0.7481644153594971, 0.7497034668922424, 0.7233994603157043, 0.7201048135757446, 0.7665491700172424, 0.7541654706001282, 0.6989356279373169, 0.9580868482589722]",0.645
2,10,8,"[0.8505818247795105, 0.7517225742340088, 0.7133188843727112, 0.7023866176605225, 0.6980979442596436, 0.6983032822608948, 0.6953072547912598, 0.6945850253105164, 0.6943358778953552, 0.6938194036483765]",0.815
2,10,16,"[0.7434825301170349, 0.7036101222038269, 0.6985810995101929, 0.6962929964065552, 0.6951539516448975, 0.6944509148597717, 0.6940116882324219, 0.69377201795578, 0.6935697793960571, 0.6934592127799988]",0.5
2,10,32,"[0.3171479105949402, 0.32087305188179016, 0.3154531419277191, 0.6929798126220703, 0.6930363774299622, 0.6930714249610901, 0.6930948495864868, 0.693110466003418, 0.6931217908859253, 0.6931296586990356]",0.505
2,20,2,"[0.49579721689224243, 0.4887835383415222, 0.4730132222175598, 0.470427930355072, 0.4670714735984802, 0.463581919670105, 0.665655255317688, 0.4622141122817993, 0.4525952935218811, 0.4541114866733551]",0.75
2,20,4,"[0.8709200620651245, 0.8552053570747375, 0.8646168112754822, 0.8964868187904358, 1.0049954652786255, 0.8755607604980469, 0.8990465402603149, 0.8710379600524902, 1.1094839572906494, 0.8492212891578674]",0.795
2,20,8,"[0.8108361959457397, 0.8014751076698303, 0.7683243155479431, 0.7251989841461182, 0.7509939074516296, 0.8203152418136597, 0.7287356853485107, 0.7244383096694946, 0.728174090385437, 0.7246403694152832]",0.64
2,20,16,"[0.6319226026535034, 0.6473296880722046, 0.649944543838501, 0.36667734384536743, 0.3445117473602295, 0.33946704864501953, 0.3371647596359253, 0.31976452469825745, 0.6548697352409363, 0.5605461597442627]",0.545
2,20,32,"[0.7437497973442078, 0.7135514616966248, 0.697199285030365, 0.695499837398529, 0.6949097514152527, 0.6946923136711121, 0.6942660212516785, 0.6936507225036621, 0.6942675113677979, 0.6963882446289062]",0.92
2,40,2,"[0.5624188184738159, 0.5610356330871582, 0.5128896236419678, 0.49445807933807373, 0.47791600227355957, 0.45536306500434875, 0.43700602650642395, 0.41669130325317383, 0.40723133087158203, 0.3955024480819702]",0.575
2,40,4,"[0.4346473515033722, 0.48767903447151184, 0.41676193475723267, 0.400591105222702, 0.3913731873035431, 0.4335833191871643, 0.4570912718772888, 0.4095974266529083, 0.5728967785835266, 0.5686519145965576]",0.505
2,40,8,"[0.8060606718063354, 0.7629263401031494, 0.7338918447494507, 0.7179661393165588, 0.7043635845184326, 0.7028815746307373, 0.7001895308494568, 0.6984068751335144, 0.696721613407135, 0.6961324214935303]",0.96
2,40,16,"[0.36734068393707275, 0.37866196036338806, 0.38558560609817505, 0.3824343681335449, 0.38185617327690125, 0.38815411925315857, 0.38362231850624084, 0.4674849510192871, 0.32506048679351807, 0.31689706444740295]",0.785
2,40,32,"[1.1633961200714111, 0.7370275259017944, 0.7215992212295532, 0.7174350619316101, 1.0928322076797485, 1.1161552667617798, 1.0746409893035889, 1.0525543689727783, 0.805691123008728, 0.9033447504043579]",0.565
2,80,2,"[0.8987537622451782, 0.8477652072906494, 0.8120282888412476, 0.7905690670013428, 0.7765759825706482, 0.7684956192970276, 0.7637680768966675, 0.7605481743812561, 0.7586668133735657, 0.7565430402755737]",0.405
2,80,4,"[0.4302266538143158, 0.43845701217651367, 0.4287654161453247, 0.4105691611766815, 0.398449182510376, 0.39028051495552063, 0.38247692584991455, 0.37370195984840393, 0.35885271430015564, 0.3535354733467102]",0.81
2,80,8,"[0.5727722644805908, 0.6303970217704773, 0.6234936714172363, 0.5712814331054688, 0.5081207156181335, 0.47616463899612427, 0.4701206684112549, 0.494506299495697, 0.44243210554122925, 0.44008275866508484]",0.75
2,80,16,"[0.4058951139450073, 0.6474344730377197, 0.6000996828079224, 0.4166050851345062, 0.3232528865337372, 0.46069830656051636, 0.3222295641899109, 0.31750887632369995, 0.3162660300731659, 0.31397855281829834]",0.965
2,80,32,"[0.7406533360481262, 0.717357873916626, 0.7127735614776611, 0.7279859185218811, 0.7135130167007446, 0.8125718832015991, 0.7219703793525696, 0.7115642428398132, 1.06615149974823, 0.7125360369682312]",0.63
