Scale Factor,Sequence Length,Hidden Size,Loss Vector,Accuracy
9,10,32,"[0.8514860272407532, 0.7354077100753784, 0.7048060894012451, 1.26083505153656, 0.7430633306503296, 0.8167391419410706, 0.7367178201675415, 0.7356254458427429, 0.7155726552009583, 0.693435788154602]",0.865
9,20,2,"[0.4253651797771454, 0.41612863540649414, 0.40982934832572937, 0.40463778376579285, 0.4008675515651703, 0.397379994392395, 0.39094406366348267, 0.38655269145965576, 0.3844776153564453, 0.3867010474205017]",0.68
9,20,4,"[0.4802948236465454, 0.493999719619751, 0.49586737155914307, 0.6522480249404907, 0.6550834774971008, 0.6570990681648254, 0.580846905708313, 0.6533833742141724, 0.6559206247329712, 0.6582830548286438]",0.515
9,20,8,"[0.9121358394622803, 0.8735888004302979, 0.840190052986145, 0.9074603319168091, 0.9248743057250977, 1.151177167892456, 0.8626947402954102, 0.7910802960395813, 0.8411538600921631, 0.7421703934669495]",0.47
9,20,16,"[0.5336145162582397, 0.5161440372467041, 0.5611155033111572, 0.6013372540473938, 0.6289054751396179, 0.6389560699462891, 0.665936291217804, 0.6638928651809692, 0.6637610197067261, 0.6593436002731323]",0.48
9,20,32,"[0.5699968338012695, 0.5105378031730652, 0.6062120795249939, 0.6488407254219055, 0.564994752407074, 0.610567569732666, 0.6318328380584717, 0.5965213775634766, 0.5194904208183289, 0.6276084184646606]",0.48
9,40,2,"[0.4550403952598572, 0.4321244955062866, 0.41072791814804077, 0.3916640877723694, 0.3766816556453705, 0.36481741070747375, 0.3558374047279358, 0.3487779498100281, 0.3430432677268982, 0.33832821249961853]",0.85
9,40,4,"[0.6113111972808838, 0.3923782408237457, 0.3561205565929413, 0.34013238549232483, 0.33210834860801697, 0.32707658410072327, 0.32272011041641235, 0.3203630745410919, 0.31881779432296753, 0.3178737163543701]",0.865
9,40,8,"[1.054125189781189, 1.0396060943603516, 0.9102568626403809, 0.9618353843688965, 0.9031926393508911, 0.8827518820762634, 0.879328727722168, 0.857255220413208, 0.7977439165115356, 0.9029842615127563]",0.53
9,40,16,"[0.5014461278915405, 0.6090314984321594, 0.4882042407989502, 0.5727047920227051, 0.4651731848716736, 0.5891410112380981, 0.46194517612457275, 0.44432228803634644, 0.4479042887687683, 0.6140817999839783]",0.565
9,40,32,"[0.4560067057609558, 0.6088708639144897, 0.4992443919181824, 0.4919739067554474, 0.5821346640586853, 0.5251553058624268, 0.5075826048851013, 0.5108869075775146, 0.5286636352539062, 0.550391674041748]",0.595
9,80,2,"[0.8281716108322144, 0.761146605014801, 0.7324750423431396, 0.717530369758606, 0.7100216746330261, 0.7052248120307922, 0.7020666599273682, 0.6999436020851135, 0.6984700560569763, 0.6974311470985413]",0.825
9,80,4,"[0.9797284007072449, 0.9336786270141602, 0.8950013518333435, 0.8548691868782043, 0.8249108195304871, 0.8044989705085754, 0.7863365411758423, 0.7742148637771606, 0.7636774778366089, 0.7551401853561401]",0.6
9,80,8,"[0.8130398988723755, 0.7961969375610352, 0.8748520016670227, 0.881006121635437, 0.8501026630401611, 0.8283735513687134, 0.8318612575531006, 0.8311893939971924, 0.8101639151573181, 0.8070632219314575]",0.505
